"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 06 03:58:27 CST 2026","Sun Sep 06 03:58:28 CST 2026","142","tests.smoke","test_recipes_smoke","TestRecipesSmoke","","","获取食谱列表应返回分页数据","验证获取食谱列表返回分页结构。"
"passed","Sun Sep 06 03:58:12 CST 2026","Sun Sep 06 03:58:12 CST 2026","136","tests.regression","test_posts_regression","TestPostsRegression","","","获取帖子1的评论",""
"passed","Sun Sep 06 03:58:17 CST 2026","Sun Sep 06 03:58:17 CST 2026","161","tests.regression","test_quotes_regression","TestQuotesRegression","","","获取名言列表并验证Schema",""
"passed","Sun Sep 06 03:58:26 CST 2026","Sun Sep 06 03:58:27 CST 2026","136","tests.smoke","test_carts_smoke","TestCartsSmoke","","","获取单个购物车应返回正确数据","验证获取单个购物车返回正确的购物车信息。"
"passed","Sun Sep 06 03:58:18 CST 2026","Sun Sep 06 03:58:19 CST 2026","277","tests.regression","test_quotes_regression","TestQuotesRegression","","","关键字组合 - 获取列表+随机名言+搜索",""
"passed","Sun Sep 06 03:58:18 CST 2026","Sun Sep 06 03:58:18 CST 2026","288","tests.regression","test_quotes_regression","TestQuotesRegression","","","limit=0获取全部名言","验证limit=0获取所有名言。

        注意: DummyJSON 在 limit=0 时返回全部数据，且响应中的 limit 字段
        返回的是总数而非0，因此只验证返回的数据量大于默认分页大小。
        "
"passed","Sun Sep 06 03:58:16 CST 2026","Sun Sep 06 03:58:16 CST 2026","139","tests.regression","test_products_regression","TestProductsRegression","","","JSON数据驱动 - {test_id}","使用JSON数据驱动测试产品场景。"
"passed","Sun Sep 06 03:58:28 CST 2026","Sun Sep 06 03:58:28 CST 2026","136","tests.smoke","test_utility_smoke","TestUtilitySmoke","","","/ip 端点应返回IP地址","验证 /ip 端点返回IP地址。"
"passed","Sun Sep 06 03:58:28 CST 2026","Sun Sep 06 03:58:28 CST 2026","136","tests.smoke","test_utility_smoke","TestUtilitySmoke","","","/test 端点应返回状态ok","验证 /test 端点返回状态ok。"
"passed","Sun Sep 06 03:58:06 CST 2026","Sun Sep 06 03:58:06 CST 2026","137","tests.regression","test_auth_regression","TestAuthRegression","","","数据驱动登录场景 - {test_id}","使用YAML数据驱动测试多种登录场景。"
"passed","Sun Sep 06 03:58:19 CST 2026","Sun Sep 06 03:58:19 CST 2026","139","tests.regression","test_recipes_regression","TestRecipesRegression","","","搜索关键词Margherita",""
"passed","Sun Sep 06 03:58:15 CST 2026","Sun Sep 06 03:58:16 CST 2026","482","tests.regression","test_products_regression","TestProductsRegression","","","PUT更新商品","验证PUT更新商品功能。"
"passed","Sun Sep 06 03:58:18 CST 2026","Sun Sep 06 03:58:18 CST 2026","139","tests.regression","test_quotes_regression","TestQuotesRegression","","","按author排序获取名言","验证按author排序获取名言。

        注意: DummyJSON quotes 模块不支持 /quotes/search 搜索端点，
        使用排序端点替代搜索测试。
        "
"passed","Sun Sep 06 03:58:14 CST 2026","Sun Sep 06 03:58:14 CST 2026","40","tests.regression","test_products_regression","TestProductsRegression","","","获取商品列表并验证Schema","验证获取商品列表的Schema正确性。"
"passed","Sun Sep 06 03:58:14 CST 2026","Sun Sep 06 03:58:14 CST 2026","136","tests.regression","test_products_regression","TestProductsRegression","","","获取商品分类slug列表","验证获取商品分类slug列表。"
"passed","Sun Sep 06 03:58:24 CST 2026","Sun Sep 06 03:58:24 CST 2026","144","tests.regression","test_users_regression","TestUsersRegression","","","搜索关键词John",""
"passed","Sun Sep 06 03:58:27 CST 2026","Sun Sep 06 03:58:27 CST 2026","16","tests.smoke","test_products_smoke","TestProductsSmoke","","","获取商品列表应返回分页数据","验证获取商品列表返回分页结构。"
"passed","Sun Sep 06 03:58:06 CST 2026","Sun Sep 06 03:58:06 CST 2026","137","tests.regression","test_auth_regression","TestAuthRegression","","","数据驱动登录场景 - {test_id}","使用YAML数据驱动测试多种登录场景。"
"passed","Sun Sep 06 03:58:27 CST 2026","Sun Sep 06 03:58:27 CST 2026","140","tests.smoke","test_quotes_smoke","TestQuotesSmoke","","","获取随机名言应返回有效数据","验证获取随机名言返回有效的名言数据。"
"passed","Sun Sep 06 03:58:06 CST 2026","Sun Sep 06 03:58:06 CST 2026","141","tests.regression","test_auth_regression","TestAuthRegression","","","数据驱动登录场景 - {test_id}","使用YAML数据驱动测试多种登录场景。"
"passed","Sun Sep 06 03:58:13 CST 2026","Sun Sep 06 03:58:13 CST 2026","136","tests.regression","test_posts_regression","TestPostsRegression","","","查询不存在的帖子ID返回404",""
"passed","Sun Sep 06 03:58:11 CST 2026","Sun Sep 06 03:58:12 CST 2026","140","tests.regression","test_posts_regression","TestPostsRegression","","","搜索关键词love",""
